Var,Y,Q,timestamp
PIB,2021,3,1646179028.0
PIB,2021,4,1646180828.0
PIB_Industrial,2021,3,1646179028.0
PIB,2021,4,1646248659.273141
PIB,2021,4,1646264087.5512133
PIB,2021,4,1646265771.6039343
PIB,2021,4,1646265873.6025083
PIB,2021,4,1646265899.3664813
PIB,2021,4,1646267259.3521595
PIB,2021,4,1646268997.3799677
